Job ID,Customer,Job Type,Property,Sqft,Crew,Status,Quote Date,Sched Start,Actual Start,Sched Completion,Actual Completion,Quoted Price ($),Quoted Mat Cost ($),Labor Hrs,Actual Mat Cost ($),Mat Variance ($),Cycle Days,Start Delay,On-Time?
J-1093,Bayside Apartments,Interior,Residential,1800,Crew C,Completed,2025-01-23,2025-01-31,2025-01-31,2025-02-05,2025-02-04,"$5,694",$834,33,$910,$76,12,0,On Time
J-1052,Harlow Residence,Exterior,Residential,800,Crew C,Completed,2025-01-23,2025-02-10,2025-02-10,2025-02-15,2025-02-13,"$2,614",$384,12,$354,-$30,21,0,On Time
J-1030,Park La Brea,Exterior,Commercial,800,Crew A,Completed,2025-01-28,2025-02-14,2025-02-14,2025-02-18,2025-02-15,"$2,561",$454,13,$429,-$25,18,0,On Time
J-1084,Cedars-Sinai Medical Center,Interior,Commercial,1200,Crew B,Completed,2025-02-04,2025-02-16,2025-02-16,2025-02-21,2025-02-19,"$4,012",$591,22,$550,-$41,15,0,On Time
J-1078,U.S. Bank Tower,Exterior,Commercial,1500,Crew A,Completed,2025-02-17,2025-02-23,2025-02-24,2025-03-01,2025-03-01,"$5,050",$965,21,$435,-$530,12,1,On Time
J-1044,Patel Apartments,Both,Residential,800,Crew B,Completed,2025-02-05,2025-02-24,2025-02-27,2025-02-28,2025-03-01,"$2,994",$555,13,$742,$187,24,3,Late
J-1098,Vega Residence,Interior,Residential,800,Crew C,Completed,2025-02-13,2025-03-03,2025-03-03,2025-03-07,2025-03-05,"$2,510",$475,13,$361,-$114,20,0,On Time
J-1097,Whitman Retail,Both,Residential,1800,Crew C,Completed,2025-02-26,2025-03-04,2025-03-04,2025-03-08,2025-03-10,"$6,022","$1,033",32,"$1,501",$468,12,0,Late
J-1010,Maple Ridge Apartments,Exterior,Residential,1200,Crew C,Cancelled,2025-02-08,2025-03-04,,2025-03-09,,"$4,558",$911,18,$0,-$911,,,
J-1086,Paramount Pictures Studios,Interior,Commercial,1800,Crew B,Cancelled,2025-02-21,2025-03-06,,2025-03-10,,"$6,373",$909,32,$0,-$909,,,
J-1069,South Coast Plaza,Interior,Commercial,1500,Crew B,Completed,2025-02-26,2025-03-07,2025-03-07,2025-03-13,2025-03-11,"$5,323",$873,24,$604,-$269,13,0,On Time
J-1050,Juniper Retail,Both,Residential,3600,Crew C,Completed,2025-02-11,2025-03-08,2025-03-11,2025-03-16,2025-03-17,"$10,889","$1,736",62,"$2,601",$865,34,3,Late
J-1023,Juniper Townhomes,Exterior,Residential,800,Crew A,Completed,2025-02-20,2025-03-11,2025-03-11,2025-03-15,2025-03-12,"$2,881",$567,11,$339,-$228,20,0,On Time
